id,name
1,Ανατολική Μακεδονία και Θράκη
2,Αττική
3,Βόρειο Αιγαίο
4,Δυτική Ελλάδα
5,Δυτική Μακεδονία
6,Ήπειρος
7,Θεσσαλία
8,Ιόνιοι Νήσοι
9,Κεντρική Μακεδονία
10,Κρήτη
11,Νότιο Αιγαίο
12,Πελοπόννησος
13,Στερεά Ελλάδα
